comment_id,comment_text,ai_sentiment,topic_id,topic_name,business_category,main_topic_prob,alt_topic_1,alt_topic_1_name,alt_topic_1_prob
7611567506265735937,Mantab sekali🔥,Netral,-1,Mantab Uk Belakang,Lain-lain / Noise,0.0,20,Betul Keren Banget,0.8386501669883728
7611567552897467153,Mantab sekali 🔥,Netral,-1,Mantab Uk Belakang,Lain-lain / Noise,0.0,20,Betul Keren Banget,0.838650107383728
7603264587588322055,C,Netral,-1,Mantab Uk Belakang,Lain-lain / Noise,0.0,3,Menyimak Nrrjml Binus,0.8976892232894897
7607289629959963410,C+,Netral,-1,Mantab Uk Belakang,Lain-lain / Noise,0.0,3,Menyimak Nrrjml Binus,0.8976892232894897
7643828295662912276,yang belakang joget nya😭😭😭,Netral,-1,Mantab Uk Belakang,Lain-lain / Noise,0.0,2,Iya Kak Dong,0.6563885807991028
7601458808771216146,semesteran nya bisa lebih murah ga ya,Netral,-1,Mantab Uk Belakang,Lain-lain / Noise,0.0,1,Berapa Buka Kapan,0.7996228933334351
7621083142027821842,boleh,Netral,-1,Mantab Uk Belakang,Lain-lain / Noise,0.0,3,Menyimak Nrrjml Binus,0.7899355888366699
7623427330426684178,B k,Netral,-1,Mantab Uk Belakang,Lain-lain / Noise,0.0,3,Menyimak Nrrjml Binus,0.8188794851303101
7601370180233560852,masih setengah perjalanan,Netral,-1,Mantab Uk Belakang,Lain-lain / Noise,0.0,26,Bismillah Depan Bismillahirrahmanirrahim,0.6442248821258545
7600014350959821588,aku di paling belakang dong.. 😁😁,Netral,-1,Mantab Uk Belakang,Lain-lain / Noise,0.0,2,Iya Kak Dong,0.7063055038452148
7640042576825516807,sms berapa kkm,Netral,-1,Mantab Uk Belakang,Lain-lain / Noise,0.0,22,Biayanya Berapa Biaya,0.7220950126647949
7602962581988311828,sekarang atuh,Netral,-1,Mantab Uk Belakang,Lain-lain / Noise,0.0,2,Iya Kak Dong,0.7244734168052673
7627724043890361095,@f,Netral,-1,Mantab Uk Belakang,Lain-lain / Noise,0.0,3,Menyimak Nrrjml Binus,0.8955892324447632
7601067049670296340,when ya,Netral,-1,Mantab Uk Belakang,Lain-lain / Noise,0.0,2,Iya Kak Dong,0.8268071413040161
7643793279608505095,kapan,Netral,-1,Mantab Uk Belakang,Lain-lain / Noise,0.0,3,Menyimak Nrrjml Binus,0.7840576171875
7646844217487328007,wkwkwkwk,Netral,-1,Mantab Uk Belakang,Lain-lain / Noise,0.0,2,Iya Kak Dong,0.6870336532592773
7654628377558762261,xl,Netral,-1,Mantab Uk Belakang,Lain-lain / Noise,0.0,3,Menyimak Nrrjml Binus,0.8770973086357117
7595565236817314567,C+,Netral,-1,Mantab Uk Belakang,Lain-lain / Noise,0.0,3,Menyimak Nrrjml Binus,0.8976892232894897
7315454215944864517,pak oktavian idolaaa,Netral,-1,Mantab Uk Belakang,Lain-lain / Noise,0.0,20,Betul Keren Banget,0.6919636726379395
7614615193083446036,"nggak mungkin kan tiba "" lewat aku😳🥺",Netral,-1,Mantab Uk Belakang,Lain-lain / Noise,0.0,2,Iya Kak Dong,0.6469106674194336
7568530909772350226,samaaaa,Netral,-1,Mantab Uk Belakang,Lain-lain / Noise,0.0,3,Menyimak Nrrjml Binus,0.8422602415084839
7258591704637506309,2in si ini..😂😂,Netral,-1,Mantab Uk Belakang,Lain-lain / Noise,0.0,2,Iya Kak Dong,0.7463253140449524
7563512904218559252,Membanggakan,Netral,-1,Mantab Uk Belakang,Lain-lain / Noise,0.0,3,Menyimak Nrrjml Binus,0.8452596664428711
7552780053446607634,yah kirain ada😭,Netral,-1,Mantab Uk Belakang,Lain-lain / Noise,0.0,2,Iya Kak Dong,0.7446791529655457
7588847754366026517,B,Netral,-1,Mantab Uk Belakang,Lain-lain / Noise,0.0,3,Menyimak Nrrjml Binus,0.903822422027588
7521611151013413649,asikk skuyy,Netral,-1,Mantab Uk Belakang,Lain-lain / Noise,0.0,20,Betul Keren Banget,0.7895127534866333
7584425355407442706,aku jga baru mau,Netral,-1,Mantab Uk Belakang,Lain-lain / Noise,0.0,2,Iya Kak Dong,0.7528072595596313
7528716429278249735,sama,Netral,-1,Mantab Uk Belakang,Lain-lain / Noise,0.0,3,Menyimak Nrrjml Binus,0.8422602415084839
7236706853018993414,@ravfx itu kmpusnya,Netral,-1,Mantab Uk Belakang,Lain-lain / Noise,0.0,2,Iya Kak Dong,0.6936253905296326
7459442585016304402,why not?,Netral,-1,Mantab Uk Belakang,Lain-lain / Noise,0.0,3,Menyimak Nrrjml Binus,0.6812117099761963
7495721631623660306,manajeman,Netral,-1,Mantab Uk Belakang,Lain-lain / Noise,0.0,3,Menyimak Nrrjml Binus,0.8140227794647217
