reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,tgl_update,sentiment,business_category,sub_issue,merge_group,confidence_level
a3ec5205-4b40-4a80-aab7-5d939f84eb5d,Joy Nina,https://play-lh.googleusercontent.com/a-/ALV-UjUcxQwVphItJm0v4ZeLhI12tmIFz9s6LmZnAY4aC-XKtFJc5K-U,"Mohon evaluasi jadwal update aplikasi. Sangat merugikan jika update wajib dilakukan mendekati masa UTS/UAS. Tidak semua HP update otomatis, dan terkadang update di Play Store belum tersedia meski ujian dimulai. Akibatnya, saya dan teman-teman alami error saat kuis, nilai kosong karena dianggap tidak ikut ujian. Selain itu, aplikasi sering lag saat kuis meski internet stabil. Mohon buat ""masa tenang"" update saat ujian. Terima kasih.",3,3,4.9.9.1,2026-06-01 20:11:34,"Halo Kak, mohon maaf atas ketidaknyamanannya. Sebagai informasi, pembaruan Edlink tidak wajib untuk membuka aplikasi dan ujian. Namun, masukan waktu rilis pembaruan akan kami teruskan sebagai bahan evaluasi. Jika Kakak memiliki pertanyaan atau kendala lain, jangan ragu untuk menghubungi kami di sevi.ma/helpdeskedlink. Terima kasih.",2026-06-10 08:48:25,4.9.9.1,2026-06-23 15:49:11,netral,Pengembangan Fitur,Saran penambahan fitur dan keamanan ujian,FEATURE_REQUEST,High
c2a58c82-edc8-42c5-9503-93ee74cd6fc8,ibnu Zacky,https://play-lh.googleusercontent.com/a-/ALV-UjU1IKeph-rkp8KbogMquz7CiGvYLvHqXhuKDFrl758cV2Zx569t,"jaringan lancar, tapi pas buka edlink lemot nya minta ampun, sama yang di web nya juga kadang gk bisa dibuka samsek",3,0,4.9.9.1,2026-05-23 12:22:15,"Halo Kak, mohon maaf atas ketidaknyamanannya. Silakan kirimkan waktu kejadian dan provider yang digunakan saat Kakak mengalami kendala ke email edlink@sevima.com. Kami akan membantu kendala yang dialami. Apabila kendala telah teratasi, jangan lupa untuk memperbarui rating ya. Terima kasih.",2026-05-26 14:46:16,4.9.9.1,2026-06-23 15:49:11,netral,Stabilitas Aplikasi,Aplikasi lambat dibuka meski jaringan stabil,PERFORMANCE_BUG,High
e6c9bc2b-be8d-460b-a60e-e8329bcb322b,Hasudungan Tambunan,https://play-lh.googleusercontent.com/a-/ALV-UjXVKyRFmcy2Ns0AUGKYs5dgqPjI6ebGyTy7m39FtRSqC9K3vg7Y,"min hari ini edlink lagi error??? koga bisa masuk via google?? notifnya ""token tidak valid""",3,0,4.9.8.6,2026-05-05 06:51:50,"Halo Kak, mohon maaf atas ketidaknyamanannya. Terkait kendala tersebut sudah kami perbaiki. Silakan melakukan clear cache dan login ulang. Kakak juga bisa menghubungi kami di sevi.ma/helpdeskedlink. Kami akan membantu kendala yang dialami. Apabila kendala telah teratasi, jangan lupa untuk memperbarui rating ya. Terima kasih.",2026-05-06 10:17:29,4.9.8.6,2026-06-23 15:49:11,netral,Autentikasi Pengguna,Masalah login dan kegagalan kode verifikasi,LOGIN_ERROR,High
efcedd6e-0d68-40f9-99b0-ecebea0f3bca,Wellda Wanti Sirait,https://play-lh.googleusercontent.com/a-/ALV-UjUpF2dgBtOSVIq575UkE1m9h3YkdOsh1r24dP-DUozkkZchcEnS,"Tolong dilakukannya perubahannya seperti awal, seperti versi yang sebelum 4.9.8 ini. kenapa fitur-fiturnya banyak yang tidak bisa, contohnya: ketika dosen share link Google Drive, tidak bisa di klik file nya. Ketika disalin ke chrome, dikatakan file sudah dihapus. Mohon perbaikannya🙏🏻",3,1,4.9.8,2026-04-01 10:07:24,"Halo Kak, mohon maaf atas ketidaknyamanannya. Silakan kirimkan detail kendala yang Kakak alami ke email edlink@sevima.com atau bisa disampaikan pula melalui Helpdesk Edlink di sevi.ma/helpdeskedlink.
Kami akan membantu kendala yang dialami. Apabila kendala telah teratasi, jangan lupa untuk memperbarui rating ya. Terima kasih.",2026-04-01 14:37:34,4.9.8,2026-06-23 15:49:11,netral,Stabilitas Sistem dan Aksesibilitas,Kegagalan akses aplikasi dan integrasi sistem setelah pembaruan,SYSTEM_ACCESS_ERROR,High
d7c5ea31-5167-4c42-93e5-9070875e731b,Abd Clasher,https://play-lh.googleusercontent.com/a/ACg8ocKOStPcuGOofUhtjbGF2DhYcMdVmXg06Cdx_PleQsxAXyFwVg=mo,goood.....!!!!!+!!+!!!!!!!!!!!,3,0,,2026-03-30 12:05:24,"Halo Kak, terima kasih banyak atas ulasannya! Semoga Aplikasi Edlink dapat terus membantu dan bermanfaat dalam proses perkuliahan Kakak. Jika ada pertanyaan atau kendala, silakan hubungi kami melalui Helpdesk Edlink di sevi.ma/helpdeskedlink. Sukses selalu!",2026-03-30 16:02:42,,2026-06-23 15:49:11,netral,Pengalaman Pengguna,Ulasan positif terkait fitur QR scan,USER_FEEDBACK,High
ed58d21f-ff4b-42e0-bc17-a21610615a33,Azahra rahmadhina,https://play-lh.googleusercontent.com/a-/ALV-UjX5EO2mX9gcNehWy7oweLHtuxNAWoEegtp7NoTvI2Uh1wnmvHY,"sering bug padahal internet lancar, untuk klaim poin terutama, hampir semua klaim ga berfungsi, sudah di refresh tetep ga bisa",3,1,4.9.8,2026-03-28 19:34:01,"Halo Kak, mohon maaf atas ketidaknyamanannya. Silakan kirimkan detail kendala yang Kakak alami ke email edlink@sevima.com atau bisa disampaikan pula melalui Helpdesk Edlink di sevi.ma/helpdeskedlink.
Kami akan membantu kendala yang dialami. Apabila kendala telah teratasi, jangan lupa untuk memperbarui rating ya. Terima kasih.",2026-03-30 16:02:29,4.9.8,2026-06-23 15:49:11,netral,Stabilitas Aplikasi,Aplikasi lambat dibuka meski jaringan stabil,PERFORMANCE_BUG,High
dbe67d96-480a-4cee-a7b8-b0369df67302,Elisa Tambunan,https://play-lh.googleusercontent.com/a/ACg8ocIZ2E0EP7PtorhAtOYsH_JnMsETQPbKWpGx9ufE4wCmcnQ7fg=mo,"kenapa versi terbaru 4.9.8 edlink sekarang setelah diperbaharui dari versi sebelum nya menjadi buruk. Kami para mahasiswa yg menggunakan platform edlink ini , pada tidak bisa terbuka link drive yang di share dosen kami di materi pada edlink, dan juga link"" semester lama yang sudah ada juga pada ga bisa dibuka kembali lagi, padahal di versi sblmnya tdk pernah begini. Mohon bantuannya segera diperbaiki, kami butuh segera dan secepatnya mempelajari materi dari yang di share dosen kami di edlink",3,0,,2026-03-14 01:01:44,"Halo Kak, mohon maaf atas ketidaknyamanannya. Saat ini, fitur ini sedang dalam proses penyesuaian oleh tim teknis kami, mohon ketersediaannya untuk menunggu.
Kakak bisa menghubungi kami di sevi.ma/helpdeskedlink. Kami akan membantu kendala yang dialami. Apabila kendala telah teratasi, jangan lupa untuk memperbarui rating ya. Terima kasih.",2026-03-30 16:00:06,,2026-06-23 15:49:11,netral,Stabilitas Sistem dan Aksesibilitas,Kegagalan akses aplikasi dan integrasi sistem setelah pembaruan,SYSTEM_ACCESS_ERROR,High
9c10778d-e46d-4ccc-9e53-ede9577c1a14,lidya zahra,https://play-lh.googleusercontent.com/a/ACg8ocLJfjV2t5rvyl1KawXe3qHWp5_yO2HbBG8w9UGP_6Hy9QZTWQ=mo,"tolong ya minimal 20 menit sebelum deadline tugas ada notif pemberitahuan, biar ga kelewat ngumpulin tugas🙏🏻",3,0,,2026-02-22 04:38:43,"Halo Kak, terima kasih banyak atas ulasan dan masukan yang diberikan. Masukan dari Kakak akan menjadi pertimbangan bagi kami dalam proses pengembangan Aplikasi Edlink ke depannya. Jika Kakak memiliki pertanyaan atau kendala lain, jangan ragu untuk menghubungi kami di sevi.ma/helpdeskedlink. Terima kasih.",2026-02-26 12:28:52,,2026-06-23 15:49:11,netral,Notifikasi dan Pengingat,Notifikasi tugas terlambat muncul atau tidak berfungsi,NOTIFICATION_BUG,High
06fd7c34-587a-4ef2-b424-3290654348ba,Rahmat Prasetyo,https://play-lh.googleusercontent.com/a-/ALV-UjUArqooICLmApBaTjhhgTDl7dIS-zpKgnVZLu63xOHRqq6x1_Un,untuk absen sepertinya lebih baik QR nya ditambah opsi galeri karena tidak semua pakai laptop/pc,3,0,4.9.8,2026-02-18 16:27:19,"Halo Kak, terima kasih banyak atas ulasan dan masukan yang diberikan. Terkait saran Kakak akan tetap kami sampaikan ke tim terkait, namun sebagai informasi kondisi saat ini guna untuk mengoptimalkan keakuratan data presensi. Jika Kakak memiliki pertanyaan atau kendala lain, jangan ragu untuk menghubungi kami di sevi.ma/helpdeskedlink. Terima kasih.",2026-02-26 12:28:10,4.9.8,2026-06-23 15:49:11,netral,Stabilitas Sistem dan Aksesibilitas,Kegagalan akses aplikasi dan integrasi sistem setelah pembaruan,SYSTEM_ACCESS_ERROR,High
71f087c8-01fd-49c0-bd0a-b4b3ab22fd06,Arman Wijaya (ARYA),https://play-lh.googleusercontent.com/a-/ALV-UjWC8-G4vBaR4DDKCDkWZOn4sxrCT4G-h1xLxv5duAp-BTLY8Q7p,tambahkan fitur widget,3,0,4.9.7,2026-01-26 12:19:06,"Halo Kak, terima kasih banyak atas ulasan dan masukan yang diberikan. Masukan dari Kakak akan menjadi pertimbangan bagi kami dalam proses pengembangan Aplikasi Edlink ke depannya. Jika Kakak memiliki pertanyaan atau kendala lain, jangan ragu untuk menghubungi kami di sevi.ma/helpdeskedlink. Terima kasih.",2026-01-29 09:00:30,4.9.7,2026-06-23 15:49:11,netral,Pengalaman Pengguna,Ulasan pengguna yang tidak spesifik atau bersifat uji coba,GENERAL_FEEDBACK,Medium
